"taxa","stool.day0.R1_count","stool.day3.R1_count","stool.day6.R1_count","stool.day14.R1_count","stool.day28.R1_count","stool.day0.R2_count","stool.day3.R2_count","stool.day6.R2_count","stool.day14.R2_count","stool.day28.R2_count","stool.day0.R3_count","stool.day3.R3_count","stool.day6.R3_count","stool.day14.R3_count","stool.day28.R3_count","stool.day0.R4_count","stool.day3.R4_count","stool.day6.R4_count","stool.day14.R4_count","stool.day28.R4_count","stool.day0.R5_count","stool.day3.R5_count","stool.day6.R5_count","stool.day14.R5_count","stool.day28.R5_count","stool.day0.R6_count","stool.day3.R6_count","stool.day6.R6_count","stool.day14.R6_count","stool.day28.R6_count","stool.day0.R7_count","stool.day3.R7_count","stool.day6.R7_count","stool.day14.R7_count","stool.day28.R7_count","stool.day0.R8_count","stool.day3.R8_count","stool.day6.R8_count","stool.day14.R8_count","stool.day28.R8_count"
"Citrobacter",0.0206750808546303,-0.45277230246334,-0.53155142958158,-0.89595087622179,1.33320170579563,0.349757902030261,-0.0837803569733797,-0.786415904765799,-0.60058354782364,1.08079887282601,0.27550678417692,-0.20063284449736,-0.411521222477329,-1.2809451232986,3.09412753112804,0.38848805302246,0.23330803122426,-0.29006838666646,-1.05096509604737,-0.93008379430895,0.18504981868369,-0.10961648568089,-0.512523572857989,1.15236491308464,-0.74875260072545,0.434464196783951,-0.14744849791697,-0.778939174920359,1.5419241931872,-0.16160174400722,0.18134513381961,0.0142630980846201,-0.825910354995879,1.22236531819171,-0.29844727302789,0.430977567950681,-0.15130645694008,-0.83432736498033,-0.0566452106775399,0.202171421011879
"Brucella",-0.12411878733339,-0.0905488743009508,0.385217701198408,-0.387263948889055,-0.0914919756091637,-0.0225415161531597,0.189466585992529,0.291784542622008,-0.400262815477015,-0.171466277615924,-0.0396215073024901,0.113417514424609,0.317924180198638,-0.278867361046375,-0.302963154430694,0.0342449389945303,-0.252923244597151,0.0363345638562977,0.025750261545805,-0.0987900317245041,0.07743335807361,0.297198911922169,0.145999746560468,0.519273540612535,0.109016255190566,-0.32981905373091,-0.0493614235881106,0.273820622512548,0.0650460394549448,0.298782076194516,-0.31301655419994,-0.154958488726871,0.135036300541728,-0.0815153122299153,-0.065448152874434,-0.16737587107598,0.0336898901441689,0.143883218504978,-0.214642763618225,0.143676865979166
"Pelodictyon",0.0212140929059959,-0.101028344878169,-0.0611563672445126,-0.693834412798001,1.29136328440036,0.228170544811386,0.0351017637090614,-0.355649730366143,0.471304342586289,0.651889930781244,0.760649907266726,0.0592857750976616,-0.0202165171530231,-0.346541731974391,0.345688578031083,0.102870671903716,0.417621305621542,-0.0661218330667328,-0.993533293054841,-0.986635328292407,0.0641730552260458,-0.615989263835918,-0.325389298284373,-0.110463723286831,0.0205022716258831,0.0320461438082358,-0.305559913186098,-0.545354681462933,-0.0641670853834206,0.415625795139803,0.347119648990316,-0.173610251663049,-0.732331491695083,1.41595918904052,0.169861957132394,0.087756472132106,-0.217143060427428,-0.814494630493773,0.529919797112889,0.0610964312238735
"Candidatus_Desulforudis",5.19105589670497,4.99087197000537,5.06518731203266,5.14514552786593,5.18370461907327,4.93513029225627,4.85805389385485,5.25513100010285,5.70576480563961,5.06442966720243,4.75334936904985,5.10028737114156,5.11503664392924,5.27082318803108,2.26065523901578,4.68136260301049,4.82986894003364,4.79919165945344,5.19430779445107,5.25086799483064,4.59179785506172,5.6984952900754,5.26672663313561,4.5700613695865,5.13113603195774,4.88334393665221,5.38534153533282,5.1895833223099,4.13847142484956,5.08576180994695,4.94861444855802,5.31158248088461,5.28770906606796,6.03881135614859,4.47054077035397,4.68282186984078,5.12090709670688,5.19664138260214,5.9030449336051,5.3198411270264
"Kosmotoga",0.00420518035589845,-0.310900595419712,0.136168504704838,0.0303291774307162,-0.112455618191993,0.149073905895388,-0.059682332961172,0.186549150124458,0.195429391243126,0.313744525027887,0.279546721632228,-0.206724038943272,0.370281163948587,0.105531104702456,-1.45384205544527,-0.227283731317562,0.184382413108718,0.248850088392807,0.783152723510226,-0.242082108926023,-0.379628657698931,-0.281079256564542,0.251678279744548,-0.238002556683014,0.391766262293447,-0.179066504512372,0.102549663468078,0.0554547896259177,-0.0887949388456239,0.168141935092477,0.215950653767929,0.131448365125228,0.297295236225557,-0.584145285190584,-0.0324158019818332,-0.106819012402692,-0.0406521033480818,0.166906733468427,-0.183695773842024,-0.0411655966142233
"Candidatus_Koribacter",1.50393203001633,1.90451195627075,1.68478965071127,2.30556045323645,1.15589285252913,1.60727477083581,1.84204395213572,1.90364034702965,2.06046380987433,2.01317066469248,1.43937514124826,2.02809206789538,1.76366536477212,2.09453496567181,2.15840270748451,1.62915511082897,1.4757306929047,1.6049513472911,1.69830432257545,2.11352403388757,1.58472487581811,1.68415129506508,2.01877435717421,1.34442823159879,2.33541468465773,1.57729533365322,1.59177166329073,1.70690689204726,1.54232736113714,1.95588453053645,1.52889604615367,1.63431548454711,1.91119047132395,0.800893788878374,1.97116816320087,1.33127965412852,1.71302514485065,1.97515957101614,2.02234424477337,1.93453333812962
"Methanopyrus",0.0191397806757843,-0.00631081742120587,-0.0189211381526721,-0.0405469432116914,0.0793063319717631,0.012715141547998,-0.0267056236519438,-0.067564856605672,-0.144948226292857,0.0739419261271712,0.0212116723649275,-0.0189847009938417,-0.0454422457126644,-0.132297628025508,-0.10736647257387,0.00921107116281468,-0.0537395624229163,-0.0764472609127805,-0.0596537196187854,-0.0273766333426618,0.015016473944189,0.0562903023537442,-0.0166296314060377,-0.0355452478439044,0.00240394780942715,0.0106061416746033,-0.0471433554003106,-0.029940575198697,-0.0503455999465674,0.226170931262257,-0.0273669898836181,-0.0155398759384322,-0.0223250754342689,0.0980075458223916,0.125450568408853,-0.012867867136419,-0.0249441763527151,-0.065239140473515,-0.10833945138379,0.533060980211422
"Cellulosilyticum",-0.0410010500556499,0.870212680469589,0.132760500488589,-0.022542063342343,-1.42984587995807,0.03628166330838,-0.0567617030067207,0.729203920814869,0.278602973293627,-0.515273667595092,-0.44920773562545,0.747597488039559,0.651668261611659,0.415230275959257,-1.17390333852139,-0.66904756179929,-0.470045680671841,0.0440590329285286,1.70277403841075,1.66079728425284,-0.71988055923828,0.261302724654259,-0.367014202222032,-0.534302274621769,1.41147825174411,0.1617334761054,0.0342452090299892,0.300869192723699,-0.704342045936851,-0.201860274665112,-0.48019187807904,0.0443471269898992,0.866081877341109,-1.10064260444037,-0.782607097852213,-0.28583864397392,-0.0145459184602008,1.24827966710495,-0.937623062515406,-0.641048402690014
"Sporosarcina",0.200680903000497,-0.19542320848439,-0.34654770936437,-0.542437525594916,0.18639713307621,0.116671491976017,-0.168410004635513,-0.389608620118127,-0.237455298154296,0.281761655928025,0.0268390072024936,-0.113874475870382,-0.399812074630848,-0.767245355099355,2.02399089605267,0.0783310653233559,-0.0587494572062033,-0.321487550045233,-0.517592080765379,-0.515802981619992,-0.00883847926399688,-0.0352717769710692,-0.292563674265057,-0.439284943851548,0.271311647001766,0.118749323971829,-0.0589455675059032,-0.257387864040107,-0.10419363188358,0.218189310096506,0.121140729314949,-0.124400988466169,0.0949479373664456,0.740427036599382,1.18606103863793,0.0900865975177779,-0.0716325172631012,-0.180751147777712,0.352137020197982,0.0399941396134095
"Sebaldella",3.94338708243556,4.20094629336749,3.86086981315323,3.46052833201246,3.28134948666302,3.78327028801532,3.80755221660951,3.94056644983504,4.14402257588565,3.55734518440921,3.76760388338572,4.11234910429294,4.0145611596425,4.08034716096984,2.33591150428682,3.52109615001125,3.66424409515075,3.79149415838106,4.14622447591389,3.69633321068772,3.33436200498169,3.78479687285377,3.58482411049506,3.06544714956724,3.91028356513281,3.66100785791768,3.71573003504478,3.77253972777824,2.85847598110203,3.80856423531681,3.51539260420555,3.77193760516878,3.94231127005611,2.92830402163322,3.68978261735695,3.35805010507055,3.70297877830171,3.95775254482873,3.66452122024958,3.30845223010888
