"","nogs","rhos","ps"
"1","NOG278778",-0.491287171840668,0.00128580385949739
"2","NOG270231",0.53918331861496,0.000330799056476039
"3","NOG299752",0.462470263242722,0.00265966790747107
"4","NOG240592",-0.358120083808899,0.0232702994071639
"5","NOG243706",-0.347648739814758,0.0279439501321301
"6","NOG68205",-0.366497159004211,0.0200176745489586
"7","NOG323493",-0.443022876977921,0.00419799153900025
"8","bactNOG43428",-0.408976167440414,0.00878589258399365
"9","NOG70238",-0.370931893587112,0.0184559543917755
"10","COG4794",0.366030961275101,0.0201880941349288
"11","NOG325298",-0.318907231092453,0.04488827531183
"12","NOG84865",0.385345607995987,0.0140681821451709
"13","NOG127895",0.483292400836945,0.00158305288259397
"14","NOG46064",0.49336639046669,0.00121710030246103
"15","bactNOG42431",0.44805720448494,0.00373955950312888
"16","NOG257233",0.385356962680817,0.014065109488127
"17","NOG75358",0.52136754989624,0.000561123152173382
"18","NOG244003",0.335299789905548,0.034427140521375
"19","bactNOG23595",0.410860329866409,0.00845013972577391
"20","NOG137774",-0.38441413640976,0.0143221885135061
"21","NOG116183",0.520423054695129,0.00057660131824
"22","NOG237961",-0.417398452758789,0.00736903825192914
"23","bactNOG98037",-0.317887753248215,0.0456156375990024
"24","NOG326971",-0.363480120897293,0.0211422128726637
"25","NOG259412",-0.315465152263641,0.0473823543690539
"26","NOG83047",-0.332267165184021,0.0361949230691188
"27","meNOG05736",-0.438751339912415,0.00462456688426727
"28","NOG118896",-0.333044856786728,0.0357346617169743
"29","bactNOG09269",-0.441358357667923,0.00435996086653589
"30","NOG254031",-0.474698543548584,0.00196878219008512
"31","NOG10830",-0.341365933418274,0.0311032531214037
"32","NOG303656",0.383469641208649,0.014583699351904
"33","NOG326279",-0.518538117408752,0.00060863584088322
"34","NOG282423",-0.431419521570206,0.00544487287691053
"35","NOG17779",-0.560696244239807,0.00016782319732922
"36","NOG285343",-0.447127640247345,0.00382076144212684
"37","NOG81413",0.317011475563049,0.0462484215605259
"38","NOG258682",-0.426204323768616,0.00610247913567807
"39","NOG256700",0.408099174499512,0.00894603065155009
"40","COG3618",0.347408711910248,0.0280595684334908
"41","NOG09909",0.312816083431244,0.0493770041316171
"42","NOG134824",0.435066074132919,0.00502236650506283
"43","NOG116246",0.666089713573456,2.71749037272784e-06
"44","NOG328375",0.444019556045532,0.0041035358088064
"45","NOG78680",0.708434045314789,3.14811984925001e-07
"46","NOG289177",0.544949233531952,0.000277028030553961
"47","bactNOG30952",0.543860495090485,0.000286534898774171
"48","NOG126675",0.435010194778442,0.00502861985541836
"49","NOG147521",-0.352656751871109,0.0256201131467912
"50","NOG241879",0.769045650959015,6.76178713021613e-09
"51","COG4176",0.7447230219841,3.58824414625758e-08
"52","bactNOG62447",-0.702708780765533,4.30545156415718e-07
"53","NOG148291",0.511527478694916,0.00074218555094463
"54","NOG117759",0.568304240703583,0.000130531394244127
"55","COG2113",0.571215808391571,0.000118368980441375
"56","arCOG02635",-0.471215218305588,0.00214731162860327
