"","inds","deps","slopes","intersects","sps","ips"
"1","P22-like_viruses","Methylobacillus",-1.91399548191597,0.753453437667653,0.0111016568456633,0.0177298525797613
"2","Soehngenia","Methylobacillus",-1.5155848815244,0.560149858630888,0.0462036230582698,0.0727959329542901
"3","P22-like_viruses","Methanosphaera",0.774826188854683,-0.134601845728413,0.015047136513821,0.107372925908935
"4","Morganella","Methanosphaera",0.579991162660391,0.0602331804658793,0.0132709737927872,0.347140656588753
"5","Soehngenia","Methanosphaera",0.74711702558343,-0.0619710908068051,0.0251576776882383,0.495941667833336
"6","Thiomonas","Polaromonas",0.461046566186213,0.012774773402317,0.0421087364848819,0.83264627930979
"7","Caldanaerobius","Polaromonas",-0.418068302036458,0.232738451206278,0.0104647068479757,0.00562466120972784
"8","Brochothrix","Polaromonas",0.449840464012104,0.0239808755764255,0.0269938431052423,0.660865391765165
"9","Thermobispora","Polaromonas",0.479161997166822,-0.00534065757829194,0.0266790125009486,0.930014335424871
"10","Ectothiorhodospira","Polaromonas",0.421311178796974,0.0525101607915558,0.0326780725440221,0.295823594305924
"11","Lysobacter","Polaromonas",0.47103046354652,0.00279087604200998,0.0277381428311796,0.957786688372566
"12","P22-like_viruses","Caldanaerobacter",0.727009570162923,-0.448223358484133,0.00912797454133333,0.00603171387836605
"13","Soehngenia","Caldanaerobacter",0.83714310472028,-0.3623642834634,0.0247861957286915,0.0270126393954308
"14","Thiomonas","Alkalilimnicola",-0.244549474604499,0.078613577172079,0.0442839083091293,0.0343681200226934
"15","Bosea","Alkalilimnicola",-0.231784666492045,0.182791897461785,0.0427373862102,0.0313096226988882
"16","Thiomonas","Candidatus_Riesia",-0.276668734606406,-0.0123872352081031,0.0402687930706847,0.730369231759757
"17","Sedimentibacter","Candidatus_Riesia",-0.273932956278545,-0.0151230135359637,0.0259346518604828,0.63754085497948
"18","PB1likevirus","Candidatus_Riesia",0.278383472125205,-0.110248139606401,0.0308561747654231,0.0112585596869443
"19","Faecalibacterium","Candidatus_Riesia",-0.330589744059581,0.0415337742450715,0.0050019257042285,0.0229765541527407
