"","gene_counts","ave_change_1_to_3_direction_conserved_in_8_of_8"
"1","NOG41625","0.418116281725516"
"2","NOG296986","0.0642632463823244"
"3","COG1524","0.644912942846161"
"4","NOG76484","0.149186937178252"
"5","COG2830","0.0755166292194144"
"6","COG2166","0.50784836323299"
"7","NOG43132","0.452761309883858"
"8","NOG39328","0.254210870110117"
"9","NOG86981","1.04034528942109"
"10","NOG139482","0.47890220762899"
"11","NOG120661","0.683049877021457"
"12","NOG69469","0.305342365067299"
"13","COG3275","0.327938957965755"
"14","NOG04112","0.873252864553159"
"15","NOG76685","0.506586952811276"
"16","NOG74843","0.672626821294496"
"17","NOG119267","0.286573465654667"
"18","NOG47958","0.673284107448714"
"19","NOG122361","0.0624111203369189"
"20","COG1043","0.475759639242067"
"21","NOG39894","0.579019011796603"
"22","NOG127160","0.276948734081974"
"23","COG0854","0.507861593213741"
"24","NOG42706","0.280302257382425"
"25","NOG38873","0.719526658622379"
"26","NOG46941","0.446314934308622"
"27","NOG320753","0.336252777751054"
"28","NOG46491","0.772025236265886"
"29","NOG237022","0.0798418833619172"
"30","NOG13320","0.608771695167108"
"31","COG1726","0.808518444581478"
"32","NOG46840","0.902934380173687"
"33","NOG86284","0.317913450937691"
"34","NOG39011","0.545741009494919"
"35","NOG124704","0.449400888291937"
"36","COG1119","0.365396286926168"
"37","NOG41492","1.09472351365898"
"38","COG0664","0.313709904688959"
"39","NOG313658","0.658897026134132"
"40","COG1137","0.372490284302761"
"41","NOG130809","0.0503129364704601"
"42","NOG73642","0.630153723826172"
"43","NOG11172","0.229716479219818"
"44","NOG69351","0.3184680959197"
"45","COG0147","0.24067003796018"
"46","NOG128240","0.300625725689737"
"47","NOG80033","0.413123996026218"
"48","NOG321015","1.20339797380549"
"49","NOG130506","0.518234857729355"
"50","COG4739","0.333845695732984"
"51","NOG151118","0.0377615400774809"
"52","COG4452","0.38314775393317"
"53","COG1226","0.159799074002951"
"54","NOG42236","0.264856688781356"
"55","bactNOG00270","0.0192846622016266"
"56","COG1611","0.406627123368036"
"57","COG1051","0.733443267061596"
"58","NOG85545","0.25501122401425"
"59","NOG146836","0.40424504941961"
"60","NOG42293","0.435413162097779"
"61","NOG76492","0.0420929123944678"
"62","NOG126766","0.184691434088846"
"63","bactNOG01434","0.0919789864227248"
"64","NOG69061","0.569191566567179"
"65","bactNOG96568","0.0625177009798791"
"66","NOG296394","1.17079660322108"
"67","NOG44765","0.177268316069459"
"68","bactNOG41846","0.027544606865614"
"69","NOG12705","-0.0378470231714904"
"70","NOG83323","-0.0393659491078823"
"71","NOG13964","-0.0132535561164237"
"72","bactNOG62398","-0.0495958168471572"
"73","NOG263577","-0.190223909377944"
"74","NOG12793","-0.278062021707981"
"75","firmNOG10473","-0.110846462604007"
"76","COG0246","-0.421139277843917"
"77","NOG39098","-0.40901158252244"
"78","COG2355","-0.523179647875531"
"79","NOG76593","-0.0939202561081796"
"80","NOG307089","-0.0603934839543722"
"81","COG1819","-0.492256634531444"
"82","COG3591","-1.74515571193276"
"83","COG0813","-0.388491695457424"
"84","NOG304161","-0.0238500668681868"
"85","bactNOG03643","-0.103697516093331"
"86","NOG86992","-0.0375617246683761"
"87","NOG14404","-0.394412086315351"
"88","NOG28727","-0.200442658704878"
"89","NOG147417","-0.149208803271021"
"90","NOG146391","-0.0338413545786535"
"91","NOG43043","-0.0332360641051187"
"92","NOG137833","-0.17184530663051"
"93","bactNOG00361","-0.478227992517259"
"94","COG5659","-0.174883436207163"
"95","NOG10345","-0.112485581446369"
"96","COG2894","-0.537701856011219"
"97","COG2091","-0.444631907862429"
"98","COG1695","-0.65062857320848"
"99","NOG118652","-0.897403499325681"
