"","gene_counts","ave_change_2_to_5_direction_conserved_in_8_of_8"
"1","COG4819","0.103305429522821"
"2","COG4303","0.112729346520583"
"3","meNOG10865","0.0370866188170777"
"4","COG3566","0.0462462075507124"
"5","bactNOG00439","0.191269368084273"
"6","COG0007","0.0646624927643306"
"7","COG1985","0.0975057045157915"
"8","COG0438","-0.32795457902123"
"9","COG1267","-0.457840285068651"
"10","COG2816","-0.382624033085995"
"11","NOG11379","-0.0266115923663471"
"12","NOG84424","-0.174195479702624"
"13","NOG117006","-0.0718599598137219"
"14","NOG313842","-0.134191371377834"
"15","COG2204","-0.654333600927674"
"16","NOG82134","-0.0183266944532442"
"17","COG5316","-0.337277182914436"
"18","COG3216","-0.0791646899242864"
"19","NOG125746","-0.018569233763977"
"20","NOG75601","-0.0502176437171587"
"21","COG2982","-0.318074152943178"
"22","NOG77838","-0.813468630461603"
"23","NOG39819","-0.11026062293956"
"24","NOG86848","-0.68107220090407"
"25","NOG119083","-0.289103283839219"
"26","NOG119911","-0.424661111644716"
"27","NOG79922","-0.253043313309998"
"28","NOG72220","-0.245527564150379"
"29","COG0053","-0.46612887521847"
"30","bactNOG03447","-0.180119863331448"
"31","COG1559","-0.593205586986044"
"32","COG0820","-0.220119515600329"
"33","COG2502","-0.57342841064174"
"34","COG0608","-0.259459071493185"
"35","NOG252506","-0.112967192618722"
"36","COG1399","-0.47638587687087"
"37","COG2274","-0.756603774134858"
"38","COG2131","-0.20679814099152"
"39","NOG135621","-0.152156128330663"
"40","COG2177","-0.396821855219964"
"41","NOG84008","-0.185469490800872"
"42","COG3488","-0.0679246713462016"
"43","COG0590","-0.441035024112494"
"44","COG0357","-0.372252643558011"
"45","bactNOG01187","-0.00923132669933424"
"46","NOG134847","-0.0418130086787211"
"47","COG0067","-0.402050762386894"
"48","COG0061","-0.429753617002301"
"49","NOG28170","-0.338093513659523"
"50","COG2932","-0.133480460001039"
"51","COG1778","-0.181893711093816"
"52","NOG46654","-0.355922369709223"
"53","COG0239","-0.339388073606582"
"54","COG3820","-0.189880464613326"
"55","NOG240234","-0.125832317923033"
"56","NOG135353","-0.0107353415794013"
"57","NOG67539","-0.0332226347822563"
"58","COG5387","-0.0573604164211492"
"59","NOG138764","-0.0274929402206251"
"60","NOG312944","-0.107414821799957"
