"","gene_counts","ave_change_2_to_4_direction_conserved_in_8_of_8"
"1","COG1529","0.956071556789641"
"2","COG2243","0.127919200143907"
"3","NOG04339","0.10896469629484"
"4","COG2732","0.0544755410774647"
"5","COG2391","0.127780615887076"
"6","COG2006","0.231353084254258"
"7","NOG313944","0.0308634257943675"
"8","COG3598","0.0686623827333469"
"9","COG1489","0.241297593533212"
"10","COG4303","0.143226226022151"
"11","COG1319","0.588222107503479"
"12","NOG68692","0.147360280043939"
"13","COG1797","0.303343143189892"
"14","NOG314936","0.524908711278347"
"15","NOG125361","0.0757786523377771"
"16","NOG41625","-0.618778152117469"
"17","COG3015","-1.79684205390129"
"18","NOG262450","-0.802481236074899"
"19","NOG247370","-0.510758382689486"
"20","NOG256540","-0.137227403403141"
"21","COG3382","-0.463503947026462"
"22","COG2262","-0.863655353331269"
"23","COG3604","-0.548800085941386"
"24","COG1704","-1.31849045302724"
"25","COG0670","-1.04940511363665"
"26","COG2816","-0.422796384885071"
"27","NOG81692","-0.429192710598043"
"28","bctoNOG05424","-1.04665118875647"
"29","COG0513","-0.899240432269909"
"30","NOG85304","-0.591405031168119"
"31","NOG123336","-0.109997031692446"
"32","NOG70669","-0.276234032372223"
"33","COG3158","-0.798075161922343"
"34","COG0396","-0.569711363072631"
"35","NOG304391","-0.0509268636036606"
"36","NOG75620","-1.22036832907101"
"37","NOG136090","-0.0294437504661566"
"38","COG1160","-0.803473180788519"
"39","COG1166","-0.615133459845575"
"40","NOG302068","-0.0210104888795509"
"41","COG0793","-0.943487719104375"
"42","COG0799","-0.643089214528364"
"43","COG0030","-0.739336266495794"
"44","COG0526","-0.936362242309786"
"45","NOG11124","-0.561511991815168"
"46","COG1188","-0.482079659129029"
"47","NOG308273","-0.180738039889185"
"48","COG2606","-0.391178475264389"
"49","NOG83653","-0.560686080976058"
"50","NOG134379","-0.480734297607828"
"51","NOG265339","-1.07771698962459"
"52","COG4166","-0.908482436820316"
"53","NOG117241","-0.503484430854088"
"54","COG0070","-0.237805442150669"
"55","NOG308082","-0.438264169182601"
"56","NOG81278","-1.10235870118317"
"57","NOG72220","-0.225233240393556"
"58","NOG138171","-0.830795344904418"
"59","COG4973","-0.558001972773035"
"60","NOG74626","-0.0912919639659184"
"61","COG0053","-0.534236196886043"
"62","COG0503","-0.605257804651236"
"63","bactNOG02102","-0.0161157073153061"
"64","COG0858","-0.842831325919779"
"65","COG0038","-0.879018985399715"
"66","COG0520","-0.54135256387012"
"67","COG5002","-0.358237135681581"
"68","NOG73726","-0.525708360812137"
"69","NOG85434","-0.87165534805688"
"70","NOG312084","-0.0292063042820979"
"71","COG1005","-0.505675612071081"
"72","COG0545","-1.08835450483488"
"73","NOG237262","-0.0528675677536371"
"74","COG0542","-0.568419621631697"
"75","COG3971","-0.0687678813085746"
"76","NOG68057","-0.758690037101356"
"77","NOG84914","-0.205456589895265"
"78","bctoNOG08155","-0.0116415090311425"
"79","COG0483","-0.684665489417766"
"80","NOG78031","-0.378693294616544"
"81","COG2502","-0.761424561539449"
"82","bctoNOG06210","-0.0305525928315094"
"83","COG1512","-0.813521531034596"
"84","NOG287781","-0.0923628907232998"
"85","COG1230","-0.803208935638254"
"86","NOG47856","-0.177333154565719"
"87","COG2274","-1.41976782410367"
"88","COG1252","-0.896819499626537"
"89","COG2868","-0.838113278382314"
"90","NOG146649","-1.05268301046839"
"91","NOG135187","-0.116165407833422"
"92","NOG147232","-0.023148425271363"
"93","COG2211","-0.907519168039801"
"94","NOG09438","-0.490658010583313"
"95","NOG42679","-0.163485719060898"
"96","COG1173","-0.433205351973986"
"97","COG1970","-1.03136129262989"
"98","bactNOG98918","-0.0297590261757914"
"99","COG0457","-0.885409994029874"
"100","COG0310","-0.687726567075491"
"101","NOG123257","-0.00890775604740569"
"102","bactNOG18363","-0.00990853387961649"
"103","NOG278182","-1.50558958999662"
"104","NOG260223","-0.916277171010096"
"105","COG0590","-0.778193741301355"
"106","NOG279297","-0.342792540299431"
"107","COG2077","-1.03280123672295"
"108","NOG40667","-0.752313960143906"
"109","COG0443","-0.560464447315155"
"110","COG0444","-0.496757412844181"
"111","NOG319847","-0.226077684010375"
"112","bactNOG44381","-0.0781592053045732"
"113","COG4771","-0.742839307625029"
"114","COG0705","-0.836673990617304"
"115","NOG140528","-0.144786858025874"
"116","COG0067","-0.444130270141444"
"117","COG3560","-0.855826236048573"
"118","NOG84140","-0.370897906037292"
"119","bactNOG10125","-0.00972815316673329"
"120","NOG47185","-0.527561140141452"
"121","COG2367","-0.519147021125884"
"122","COG0212","-1.02185380352352"
"123","COG1039","-0.0337304076194848"
"124","COG0845","-0.576307707869119"
"125","bactNOG01755","-0.218778990141019"
"126","NOG86432","-0.452184812348574"
"127","COG0230","-0.98676411522654"
"128","COG1011","-0.694918125599665"
"129","NOG328297","-0.362654695377962"
"130","COG0619","-0.336258385037577"
"131","bactNOG28740","-0.371017135666355"
"132","COG2704","-0.824807791573029"
"133","NOG240234","-0.127740337406398"
"134","bactNOG14191","-0.0716414173654839"
"135","NOG298138","-0.989058762012885"
"136","COG3514","-0.0174137509309508"
"137","bactNOG06526","-0.0116253282339375"
