"","order","ave_change_1_to_5_direction_conserved_in_8_of_8"
"1","Myxococcales","0.188890712079738"
"2","Acholeplasmatales","-1.07260921684873"
"3","Mycoplasmatales","-0.601557006405175"
"4","Fibrobacterales","-0.321036531762087"
