"coord_sorted_stool.day0.R1.sas.bwa" "coord_sorted_stool.day0.R2.sas.bwa" "coord_sorted_stool.day0.R3.sas.bwa" "coord_sorted_stool.day0.R4.sas.bwa" "coord_sorted_stool.day0.R5.sas.bwa" "coord_sorted_stool.day0.R6.sas.bwa" "coord_sorted_stool.day0.R7.sas.bwa" "coord_sorted_stool.day0.R8.sas.bwa" "coord_sorted_stool.day14.R1.sas.bwa" "coord_sorted_stool.day14.R2.sas.bwa" "coord_sorted_stool.day14.R3.sas.bwa" "coord_sorted_stool.day14.R4.sas.bwa" "coord_sorted_stool.day14.R5.sas.bwa" "coord_sorted_stool.day14.R6.sas.bwa" "coord_sorted_stool.day14.R7.sas.bwa" "coord_sorted_stool.day14.R8.sas.bwa" "coord_sorted_stool.day28.R1.sas.bwa" "coord_sorted_stool.day28.R2.sas.bwa" "coord_sorted_stool.day28.R3.sas.bwa" "coord_sorted_stool.day28.R4.sas.bwa" "coord_sorted_stool.day28.R5.sas.bwa" "coord_sorted_stool.day28.R6.sas.bwa" "coord_sorted_stool.day28.R7.sas.bwa" "coord_sorted_stool.day28.R8.sas.bwa" "coord_sorted_stool.day3.R1.sas.bwa" "coord_sorted_stool.day3.R2.sas.bwa" "coord_sorted_stool.day3.R3.sas.bwa" "coord_sorted_stool.day3.R4.sas.bwa" "coord_sorted_stool.day3.R5.sas.bwa" "coord_sorted_stool.day3.R6.sas.bwa" "coord_sorted_stool.day3.R7.sas.bwa" "coord_sorted_stool.day3.R8.sas.bwa" "coord_sorted_stool.day6.R1.sas.bwa" "coord_sorted_stool.day6.R2.sas.bwa" "coord_sorted_stool.day6.R3.sas.bwa" "coord_sorted_stool.day6.R4.sas.bwa" "coord_sorted_stool.day6.R5.sas.bwa" "coord_sorted_stool.day6.R6.sas.bwa" "coord_sorted_stool.day6.R7.sas.bwa" "coord_sorted_stool.day6.R8.sas.bwa"
"ENSMUSG00000056054" -Inf -Inf -Inf -Inf -Inf -Inf -Inf -Inf 5.17925450831809 5.38722004268587 7.38395711497295 3.43208687831392 4.49663612675468 5.5992294021865 4.56092173511808 5.86968326485176 5.16879626943674 4.64440043935345 7.06956979599191 7.09630020116443 4.69151433921957 3.29280011634508 5.49224456974329 4.11240322614518 -Inf -Inf -Inf 2.27834561045731 -Inf -Inf -Inf -Inf -Inf -Inf -Inf 1.54981863085412 2.61206843481961 -Inf 3.85056372332288 3.94639371285285
"ENSMUSG00000056071" -Inf -Inf -Inf -Inf -Inf -Inf -Inf 3.47091270364096 7.52164670576517 7.58567074230948 9.58002225387905 6.39234069952116 6.61749052162906 7.44599900535745 6.71369201552133 7.58337907969512 6.78387875853424 7.01868393930195 8.9260907748534 9.74559027698978 7.06590985400107 5.62464368009752 7.68578212840756 6.7782857222499 -Inf -Inf 3.28838880139863 -Inf -Inf -Inf -Inf 1.72221992168909 -Inf -Inf -Inf 2.54981863085412 4.19703093554077 0.258162868235261 6.17249181821024 -Inf
