"","genus","ave_change_d0_to_d3_direction_conserved_in_7_of_8"
"1","Moritella","0.0164886475325904"
"2","Ensifer","0.0100754585339381"
"3","Thauera","-0.289223361169114"
"4","Pelobacter","-0.318715481545669"
