"","genus","ave_change_2_to_3_direction_conserved_in_8_of_8"
"1","Teredinibacter","0.59336107632899"
"2","Cellvibrio","0.470579158226288"
"3","Natronomonas","0.15628824512457"
"4","Renibacterium","0.157414522118111"
"5","Propionibacterium","0.702672158954203"
"6","Stigmatella","0.0447384092804891"
"7","Sebaldella","0.384811199923579"
"8","Oligotropha","-0.27859388642992"
"9","Riemerella","-0.282819811493389"
"10","Ehrlichia","-0.400623405511812"
"11","Sulfurihydrogenibium","-0.653068421747547"
"12","Novosphingobium","-0.345193212218521"
