"","species","ave_change_1_to_2_direction_conserved_in_8_of_8"
"1","Enterococcus_phage_phiFL1A","0.494375067130203"
"2","Staphylococcus_lugdunensis","1.12240474013797"
"3","Streptococcus_sanguinis","0.68682483058865"
"4","Enterococcus_faecalis","1.59850883166814"
"5","Bacillus_amyloliquefaciens","0.806628579304102"
"6","Oenococcus_oeni","0.868042443087151"
"7","Listeria_monocytogenes","0.863182990030896"
"8","Shigella_sonnei","0.435829026581888"
"9","Colwellia_maris","0.231993966151761"
"10","Streptococcus_parauberis","0.279659095594886"
"11","Lactococcus_lactis","1.45426235330566"
"12","Chlamydia_muridarum","0.112550838223574"
"13","Macrococcus_caseolyticus","0.536556856093101"
"14","Lactobacillus_salivarius","2.69914687843044"
"15","Klebsiella_oxytoca","1.39796959565176"
"16","Lactobacillus_sakei","2.20259575107653"
"17","Bacillus_sp._LU11","0.206125852901161"
"18","Streptococcus_pneumoniae","1.15473137351598"
"19","Comamonas_testosteroni","0.317378191791191"
"20","Lactobacillus_curvatus","1.83801066877103"
"21","Streptococcus_gallolyticus","1.05990465489131"
"22","Corynebacterium_efficiens","0.308621835715738"
"23","Rhodobacter_capsulatus","0.190493292154259"
"24","Lactococcus_phage_B1","0.127868584262826"
"25","Streptococcus_pyogenes","1.22614972420859"
"26","uncultured_bacterium_BLR19","0.117071192169847"
"27","Pantoea_stewartii","0.11996519237455"
"28","Enterococcus_faecium","1.56025925036472"
"29","Methylacidiphilum_infernorum","0.305220567251049"
"30","Leuconostoc_carnosum","0.603585704261328"
"31","Carnobacterium_maltaromaticum","0.639779395183219"
"32","Leuconostoc_fallax","1.13213692467471"
"33","Staphylococcus_carnosus","0.88838664247259"
"34","Lactobacillus_mali","0.562362412017431"
"35","[Clostridium]_sticklandii","-0.435532270089404"
"36","Streptosporangium_roseum","-0.92559090875683"
"37","Abiotrophia_para-adiacens","-0.0520458456083321"
"38","Mycoplasma_penetrans","-0.489980315260427"
"39","Streptomyces_cattleya","-0.0820947763424682"
"40","uncultured_Bacteroidetes_bacterium_'SBI2-18_P41A3'","-0.0555633079396882"
"41","Shewanella_sp._MR-7","-0.509175392466405"
"42","Mycobacterium_sp._KMS","-0.0953838398364514"
"43","Thermosipho_melanesiensis","-0.681574839091035"
