"","species","ave_change_2_to_5_direction_conserved_in_8_of_8"
"1","Brevibacillus_choshinensis","0.175853180600819"
"2","Anaerobranca_gottschalkii","0.143766052027689"
"3","Candidatus_Amoebophilus_asiaticus","0.482931325059846"
"4","Ruegeria_pomeroyi","-0.210904720716679"
"5","Cystobacter_fuscus","-0.0293497974542142"
"6","uncultured_Bartonella_sp.","-0.0345077743952767"
"7","Clostridium_histolyticum","-0.26958291130094"
"8","Amycolatopsis_coloradensis","-0.109262158611808"
"9","Achromobacter_denitrificans","-0.14113118112878"
"10","Bacillus_alcalophilus","-0.17433493520812"
"11","uncultured_Geobacter_sp.","-0.790072544517328"
"12","uncultured_marine_gamma_proteobacterium_EB000-45B06","-0.112034457380728"
"13","Cytophaga_sp._MBIC01355","-0.0322790931347949"
