"","species","ave_change_1_to_5_direction_conserved_in_8_of_8"
"1","Leuconostoc_citreum","1.09014956446018"
"2","Nitrosospira_multiformis","0.53926633470598"
"3","Staphylococcus_lugdunensis","1.1416898410079"
"4","Tetragenococcus_halophilus","0.281685147266632"
"5","Staphylococcus_aureus","0.626020368359944"
"6","Staphylococcus_haemolyticus","1.26150494619966"
"7","Xanthomonas_fuscans","0.839176019240549"
"8","Fructobacillus_ficulneus","0.467749144005313"
"9","Enterococcus_asini","0.186497534077401"
"10","Enterococcus_faecalis","1.16208678450032"
"11","Streptomyces_antibioticus","0.335201966570559"
"12","Oenococcus_oeni","0.760372756971566"
"13","Shigella_sonnei","0.229680616403197"
"14","Fructobacillus_durionis","0.431876690819048"
"15","Streptococcus_salivarius","0.614727892155494"
"16","Streptococcus_parauberis","0.136750409707355"
"17","Streptococcus_suis","0.625542484056414"
"18","Macrococcus_caseolyticus","0.424128231490901"
"19","Streptococcus_thermophilus","1.30349230538714"
"20","Corynebacterium_urealyticum","1.01518272838529"
"21","Enterococcus_casseliflavus","0.83722245180471"
"22","Streptococcus_pneumoniae","0.831177715681566"
"23","Enterococcus_canintestini","0.135838571852323"
"24","Lactococcus_phage_B1","0.0767130961583274"
"25","Streptococcus_pyogenes","0.837621281673834"
"26","Enterococcus_faecium","1.20055021849557"
"27","Staphylococcus_epidermidis","0.651593813784414"
"28","Leuconostoc_fallax","0.769989331271597"
"29","Staphylococcus_carnosus","0.583625772617303"
"30","Streptococcus_sobrinus","1.35251011526404"
"31","Agrobacterium_fabrum","-0.347796306290099"
"32","Clostridium_acidurici","-1.29684114571448"
