"","inds","deps","slopes","intersects","sps","ips"
"1","Bcep781likevirus","Methylobacillus",-0.449786252390765,0.190699297750555,0.0463563873199273,0.0630307146035182
"2","Cystobacter","Methanosphaera",-0.967286721489901,0.22563596165519,0.00832533082273729,0.0501996924516114
"3","Asaia","Methanosphaera",-0.605276363341734,0.380729807561744,0.0271895079163424,0.0249585381300388
"4","Terrabacter","Methanosphaera",-0.993132747540204,0.251481987705493,0.00185669796047982,0.0101746711404904
"5","Bilophila","Methanosphaera",-0.703061204275783,0.380729807561744,0.0234115551409015,0.0249585381300386
"6","Phi29-like_viruses","Methanosphaera",-1.56099408475972,0.136424689502198,0.0234440839479588,0.464405015865678
"7","Alkalilactibacillus","Polaromonas",-1.15757745955219,0.365365489082796,0.0281125406309336,0.0423496138311355
"8","Sphaerotilus","Polaromonas",-1.23363017832159,0.174380664538022,0.00244445133563734,0.0890029593600331
"9","Desulfotignum","Polaromonas",-1.08493635679019,0.292724386320788,0.0143234644784495,0.0519536248258876
"10","Terrabacter","Caldanaerobacter",-1.95600869757995,-0.190984101685277,0.015597698397469,0.39546489502456
"11","Kluyvera","Candidatus_Riesia",0.320423391651175,0.0685103980800748,0.027005136134855,0.147829203097814
"12","Nannocystis","Candidatus_Riesia",0.407220525309397,-0.417702212514356,0.0139539380927784,0.00785500681825432
"13","Aphanothece","Candidatus_Riesia",0.506851364927961,-0.117917575196712,0.0394870916011781,0.149220448860277
"14","Methylophilus","Herminiimonas",-1.01702183894132,-0.0172341789800586,0.0242867420773535,0.890698544594
"15","P1-like_viruses","Herminiimonas",-1.27299863977591,0.113002183231955,0.0107535337595699,0.0696681754578565
"16","Nannocystis","Herminiimonas",-0.357557996736645,0.193972237566935,0.0227716735685984,0.0242335300703184
"17","Terrimonas","Herminiimonas",-0.953590946996472,-0.0806650709249071,0.0456188324696912,0.569432825219864
"18","Methanobacterium","Herminiimonas",0.610634605789413,0.0317667188719567,0.0483859894304762,0.735285355346772
"19","Sphaerotilus","Herminiimonas",-0.94219525216022,-0.0920607657611599,0.0330085276128422,0.484331240806561
"20","Brenneria","Herminiimonas",-0.561770572848822,-0.183467901741597,0.0474676664696065,0.0981628863155178
"21","Faecalibacterium","Herminiimonas",-0.757335205177092,0.0120967305866716,0.0315454044343674,0.905349659596778
"22","Laceyella","Capnocytophaga",-0.937532042291792,0.495841387863393,0.015105095891119,0.00947648757195219
"23","Bpp-1-like_viruses","Thermodesulfovibrio",-0.560677601491105,0.0643309709649779,0.024837186487837,0.380646949545534
"24","Leptolyngbya","Thermodesulfovibrio",-0.718297356473919,0.221950725947792,0.0397595672522474,0.0740506743499405
"25","Cystobacter","Thermodesulfovibrio",-1.20027072212739,0.125975917401245,0.00321771580520738,0.179846926260011
"26","N4-like_viruses","Thermodesulfovibrio",-1.4714008791829,-0.153779995808555,0.0294733003616055,0.43297577455963
"27","Aphanizomenon","Thermodesulfovibrio",1.05804605115147,0.1424473820795,0.0225965016229652,0.220343187405926
"28","Halanaerobium","Thermodesulfovibrio",1.11593989311048,0.0845535401204937,0.00837415398341347,0.369289364473212
"29","Brevibacterium","Thermodesulfovibrio",-1.51357198349425,-0.111608891497213,0.01702304179255,0.516429210986679
"30","Terrabacter","Thermodesulfovibrio",-1.18950996773143,0.115215163005276,0.0233423376852892,0.446212337006325
"31","Phi29-like_viruses","Thermodesulfovibrio",-2.09777727139824,0.09777255733189,0.000999715406176295,0.270682565756084
"32","Nodularia","Caulobacter",-0.326260408859822,0.0878050438710124,0.00283619897606454,0.0121039315095187
"33","Planktothrix","Caulobacter",0.489683405117076,0.124447538978263,0.00841518973420726,0.031441587966491
"34","Sulfobacillus","Caulobacter",-0.595565059571853,0.226339838734483,0.0405447835504476,0.0398249569294272
"35","Cystobacter","Eubacterium",-5.16374230394671,-0.02804023990836,0.00175475724672672,0.926061898040841
"36","Terrabacter","Eubacterium",-5.00400200173847,-0.187780542116598,0.00444585994665814,0.646705539011698
"37","Algoriphagus","Desulfotalea",-0.2120193517555,-0.0191804536236599,0.00608989270786568,0.038818627237549
"38","Terrabacter","Desulfotalea",-1.34975592677406,0.312434605786285,0.0288936132114497,0.12210932575982
"39","Phi29-like_viruses","Desulfotalea",-1.8985386033667,0.370444557235262,0.0322472233355023,0.196879113905516
"40","Ensifer","Ureaplasma",-0.272769351053423,0.0135244660155422,0.0475222583000718,0.731703816483088
"41","Leptolyngbya","Xanthobacter",-0.715886474269449,0.703585471312979,0.0204782220196306,0.0120325319177228
"42","Dehalobacter","Xanthobacter",-2.16220085593416,0.616639697638383,0.0451627262673629,0.122147081155038
"43","Schizot4likevirus","Xanthobacter",-0.880533284473018,0.703585471312979,0.0166510415599746,0.0120325319177223
"44","Brenneria","Xanthobacter",-1.50937619540461,0.520957862086707,0.0431464344421959,0.0798735188865515
"45","Tetrasphaera","Candidatus_Protochlamydia",-0.286690293183147,0.111895956716575,0.00733826077997548,0.0108544608643616
"46","Cystobacter","Candidatus_Protochlamydia",-0.628608299068805,0.0682114130587388,0.0386327194121441,0.465221903491013
"47","Phi29-like_viruses","Candidatus_Protochlamydia",-0.966241434853927,0.0778363112689527,0.0139211885374517,0.419133412852308
"48","Cystobacter","Selenomonas",-1.45764563818521,0.0641231852976228,0.0126069792815683,0.666929648446948
"49","Actinocorallia","Selenomonas",-1.70781726350154,-0.148564191376505,0.0395187041268201,0.544972765455399
"50","Pyramidobacter","Selenomonas",-1.64152621437855,-0.214855240499501,0.027038907763674,0.320815348105552
"51","Terrabacter","Selenomonas",-1.19115486116668,-0.20236759172091,0.0121173441907928,0.144884506515094
"52","Lambda-like_viruses","Marinomonas",0.367686993215905,-0.183360845204725,0.01135674625926,0.0131476847352244
"53","Ranavirus","Marinomonas",0.731677752585181,-0.317106430377041,0.031148000797932,0.0191288853018368
"54","Cystobacter","Marinomonas",-0.773721385307907,0.028136337510928,0.00831457344555945,0.687752680958326
"55","Bibersteinia","Marinomonas",-0.671486357984712,-0.0740986898122675,0.0215744981808797,0.355721575159555
"56","Terrabacter","Marinomonas",-0.791927048748563,0.0463420009515841,0.0366205343864159,0.679426425535129
